Provider_id,County,State,Lower_Payment_Est,Ave_Payment,Higher_Payment_Est,Start_Date,End_Date
141334,JACKSON,IL,"$13,861","$15,901","$18,360",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
330304,WESTCHESTER,NY,"$24,673","$25,803","$27,004",2013-04-01T00:00:00.000,2016-03-31T00:00:00.000
191303,ASSUMPTION,LA,,,,2013-04-01T00:00:00.000,2016-03-31T00:00:00.000
030030,MARICOPA,AZ,"$15,988","$17,827","$19,486",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
271335,DEER LODGE,MT,"$14,456","$16,571","$18,581",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
451329,UPTON,TX,,,,2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
150176,CLARK,IN,"$17,198","$19,174","$21,480",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
030111,PIMA,AZ,"$15,734","$17,414","$19,137",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
450662,CAMERON,TX,"$18,490","$19,536","$20,639",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
141343,CRAWFORD,IL,"$17,163","$19,356","$21,915",2013-04-01T00:00:00.000,2016-03-31T00:00:00.000
230022,BRANCH,MI,"$13,159","$14,481","$15,897",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
510002,GREENBRIER,WV,"$14,959","$15,754","$16,564",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
050396,SANTA BARBARA,CA,"$14,783","$15,762","$16,768",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
010131,MADISON,AL,"$14,399","$15,431","$16,537",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
050195,ALAMEDA,CA,"$21,954","$24,021","$26,245",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
210033,CARROLL,MD,"$18,090","$18,610","$19,173",2013-04-01T00:00:00.000,2016-03-31T00:00:00.000
180130,JEFFERSON,KY,"$21,246","$22,709","$24,108",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
180012,HARDIN,KY,"$21,186","$21,898","$22,623",2013-04-01T00:00:00.000,2016-03-31T00:00:00.000
080001,NEW CASTLE,DE,"$19,902","$20,193","$20,477",2013-04-01T00:00:00.000,2016-03-31T00:00:00.000
440148,DEKALB,TN,"$12,876","$14,624","$16,540",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
210034,BALTIMORE CITY,MD,"$16,083","$17,164","$18,231",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
050380,SANTA CLARA,CA,"$19,952","$20,527","$21,147",2013-04-01T00:00:00.000,2016-03-31T00:00:00.000
370166,WAGONER,OK,,,,2013-04-01T00:00:00.000,2016-03-31T00:00:00.000
050104,LOS ANGELES,CA,"$20,698","$23,517","$26,665",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
130002,TWIN FALLS,ID,"$13,822","$14,907","$16,133",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
370156,GARVIN,OK,"$12,052","$13,274","$14,468",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
450644,HARRIS,TX,"$22,784","$25,532","$28,411",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
370156,GARVIN,OK,,,,2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
510082,NICHOLAS,WV,,,,2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
390027,PHILADELPHIA,PA,"$15,707","$17,013","$18,357",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
100043,PINELLAS,FL,"$14,574","$16,056","$17,694",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
520208,ROCK,WI,,,,2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
180019,MASON,KY,"$22,066","$24,370","$26,888",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
181321,WAYNE,KY,,,,2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
330094,COLUMBIA,NY,"$13,965","$15,064","$16,295",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
390137,LUZERNE,PA,"$18,033","$18,948","$19,847",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
390045,LYCOMING,PA,"$20,558","$21,906","$23,418",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
140250,COOK,IL,"$16,731","$17,904","$19,202",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
390084,NORTHUMBERLAND,PA,,,,2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
260214,CASS,MO,,,,2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
281329,HOLT,NE,"$20,734","$23,246","$25,900",2013-04-01T00:00:00.000,2016-03-31T00:00:00.000
070021,WINDHAM,CT,,,,2013-04-01T00:00:00.000,2016-03-31T00:00:00.000
010008,CRENSHAW,AL,,,,2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
220058,WORCESTER,MA,,,,2013-04-01T00:00:00.000,2016-03-31T00:00:00.000
050102,RIVERSIDE,CA,"$21,686","$22,771","$23,900",2013-04-01T00:00:00.000,2016-03-31T00:00:00.000
360001,HAMILTON,OH,"$15,586","$16,674","$17,861",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
330185,SUFFOLK,NY,"$16,640","$17,511","$18,463",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
060104,BROOMFIELD,CO,"$20,006","$22,633","$25,594",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
110002,UPSON,GA,"$19,872","$22,398","$25,339",2013-04-01T00:00:00.000,2016-03-31T00:00:00.000
330163,NIAGARA,NY,"$13,577","$14,773","$15,981",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
231327,EATON,MI,"$12,794","$14,597","$16,420",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
271318,BEAVERHEAD,MT,,,,2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
250152,HINDS,MS,,,,2013-04-01T00:00:00.000,2016-03-31T00:00:00.000
290021,CLARK,NV,"$21,635","$23,841","$26,368",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
281324,NEMAHA,NE,,,,2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
170133,LEAVENWORTH,KS,"$13,153","$15,167","$17,379",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
360013,SHELBY,OH,,,,2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
520017,CHIPPEWA,WI,"$13,728","$15,523","$17,551",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
500064,KING,WA,"$15,147","$16,725","$18,313",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
141331,PERRY,IL,"$14,728","$17,430","$20,459",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
451387,UVALDE,TX,,,,2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
450372,ELLIS,TX,"$14,774","$16,079","$17,492",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
050022,RIVERSIDE,CA,"$16,438","$17,801","$19,265",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
101309,HENDRY,FL,,,,2013-04-01T00:00:00.000,2016-03-31T00:00:00.000
271331,MINERAL,MT,,,,2013-04-01T00:00:00.000,2016-03-31T00:00:00.000
033301,MARICOPA,AZ,,,,2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
250138,RANKIN,MS,"$22,308","$23,071","$23,828",2013-04-01T00:00:00.000,2016-03-31T00:00:00.000
431329,BRULE,SD,,,,2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
050541,SAN MATEO,CA,,,,2013-04-01T00:00:00.000,2016-03-31T00:00:00.000
360131,STARK,OH,"$17,363","$18,897","$20,428",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
310052,OCEAN,NJ,"$18,995","$19,807","$20,686",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
451329,UPTON,TX,,,,2013-04-01T00:00:00.000,2016-03-31T00:00:00.000
520009,OUTAGAMIE,WI,"$20,769","$21,867","$23,011",2013-04-01T00:00:00.000,2016-03-31T00:00:00.000
420036,LANCASTER,SC,"$20,403","$22,913","$25,612",2013-04-01T00:00:00.000,2016-03-31T00:00:00.000
511309,MORGAN,WV,,,,2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
030114,PIMA,AZ,"$13,103","$14,322","$15,584",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
051321,SONOMA,CA,,,,2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
531303,WESTON,WY,,,,2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
521302,TREMPEALEAU,WI,,,,2013-04-01T00:00:00.000,2016-03-31T00:00:00.000
240066,WASHINGTON,MN,"$17,918","$18,473","$19,042",2013-04-01T00:00:00.000,2016-03-31T00:00:00.000
190246,OUACHITA,LA,"$23,199","$24,530","$25,938",2013-04-01T00:00:00.000,2016-03-31T00:00:00.000
161374,SHELBY,IA,"$15,574","$17,751","$20,154",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
521339,LINCOLN,WI,"$14,512","$16,720","$18,891",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
070007,NEW LONDON,CT,"$21,496","$23,255","$25,183",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
360085,FRANKLIN,OH,"$23,181","$24,575","$25,994",2013-04-01T00:00:00.000,2016-03-31T00:00:00.000
241363,STEVENS,MN,"$13,129","$15,277","$17,790",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
350063,ROLETTE,ND,,,,2013-04-01T00:00:00.000,2016-03-31T00:00:00.000
271314,POWELL,MT,,,,2013-04-01T00:00:00.000,2016-03-31T00:00:00.000
261317,BARRY,MO,,,,2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
670071,TARRANT,TX,,,,2013-04-01T00:00:00.000,2016-03-31T00:00:00.000
140189,COLES,IL,"$15,818","$16,750","$17,648",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
331316,MADISON,NY,,,,2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
291304,PERSHING,NV,,,,2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
271343,LAKE,MT,"$13,719","$15,973","$18,194",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
340099,HERTFORD,NC,"$14,049","$15,244","$16,555",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
150051,MONROE,IN,"$22,632","$24,394","$26,190",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
180036,BOYD,KY,"$21,593","$22,506","$23,476",2013-04-01T00:00:00.000,2016-03-31T00:00:00.000
243300,RAMSEY,MN,,,,2013-04-01T00:00:00.000,2016-03-31T00:00:00.000
220063,MIDDLESEX,MA,"$21,711","$23,284","$24,927",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
