Provider_id,County,State,Lower_Payment_Est,Ave_Payment,Higher_Payment_Est,Start_Date,End_Date
500033,grant,wa,12647,14302,16202,2013-07-01,2016-06-30
470011,windham,vt,13294,15003,17040,2013-07-01,2016-06-30
150157,hamilton,in,15874,18228,20855,2013-07-01,2016-06-30
340141,new hanover,nc,21835,22952,24160,2013-07-01,2016-06-30
360037,cuyahoga,oh,13285,14864,16622,2013-07-01,2016-06-30
201314,somerset,me,14095,15603,17314,2013-07-01,2016-06-30
500012,yakima,wa,16326,17773,19139,2013-07-01,2016-06-30
060003,boulder,co,15227,16632,18268,2013-07-01,2016-06-30
251312,montgomery,ms,16029,18505,21346,2013-07-01,2016-06-30
260094,taney,mo,17692,18686,19685,2013-04-01,2016-03-31
390057,bucks,pa,14706,15787,16902,2013-07-01,2016-06-30
380020,lane,or,18785,20926,23256,2013-07-01,2016-06-30
450046,nueces,tx,17561,18386,19152,2013-07-01,2016-06-30
360180,cuyahoga,oh,16365,17380,18412,2013-07-01,2016-06-30
180043,clay,ky,13913,15763,17676,2013-07-01,2016-06-30
170176,johnson,ks,23166,24299,25472,2013-04-01,2016-03-31
060006,montrose,co,19528,20441,21461,2013-04-01,2016-03-31
190020,east baton rouge,la,14381,15964,17713,2013-07-01,2016-06-30
050373,los angeles,ca,17457,20209,23348,2013-07-01,2016-06-30
080003,new castle,de,15120,16660,18241,2013-07-01,2016-06-30
310041,ocean,nj,18731,19392,20031,2013-07-01,2016-06-30
361315,hardin,oh,13040,14724,16428,2013-07-01,2016-06-30
140118,cook,il,22409,24787,27546,2013-07-01,2016-06-30
050736,los angeles,ca,14649,16671,18937,2013-07-01,2016-06-30
181307,morgan,ky,14490,16340,18214,2013-07-01,2016-06-30
400001,san juan,pr,20109,21735,23492,2013-04-01,2016-03-31
030055,mohave,az,20376,21751,23210,2013-04-01,2016-03-31
010144,mobile,al,15491,16564,17709,2013-07-01,2016-06-30
151335,lawrence,in,24535,27892,31542,2013-04-01,2016-03-31
280130,douglas,ne,22453,24904,27611,2013-07-01,2016-06-30
150046,vigo,in,15654,16820,18164,2013-07-01,2016-06-30
111312,screven,ga,12670,15421,18177,2013-07-01,2016-06-30
360035,franklin,oh,15957,16712,17503,2013-07-01,2016-06-30
670055,bexar,tx,16813,17905,18928,2013-07-01,2016-06-30
460001,utah,ut,24579,25346,26164,2013-04-01,2016-03-31
220010,essex,ma,16669,17679,18736,2013-07-01,2016-06-30
390153,chester,pa,17237,18209,19181,2013-07-01,2016-06-30
280130,douglas,ne,22436,23245,24096,2013-04-01,2016-03-31
240020,isanti,mn,13597,15613,17904,2013-07-01,2016-06-30
171340,dickinson,ks,13881,16217,18929,2013-07-01,2016-06-30
420068,orangeburg,sc,12690,13791,14943,2013-07-01,2016-06-30
100179,duval,fl,22548,24402,26418,2013-07-01,2016-06-30
450213,bexar,tx,22132,24877,27820,2013-07-01,2016-06-30
050104,los angeles,ca,16748,18375,20317,2013-07-01,2016-06-30
360230,cuyahoga,oh,21635,22365,23108,2013-04-01,2016-03-31
460021,washington,ut,15446,16156,16836,2013-07-01,2016-06-30
340097,surry,nc,14195,15577,17078,2013-07-01,2016-06-30
361318,seneca,oh,13564,15480,17476,2013-07-01,2016-06-30
251331,calhoun,ms,13411,15338,17193,2013-07-01,2016-06-30
450869,hidalgo,tx,18343,19372,20422,2013-07-01,2016-06-30
330169,new york,ny,16234,16792,17346,2013-07-01,2016-06-30
330144,steuben,ny,13344,14957,16604,2013-07-01,2016-06-30
310108,middlesex,nj,24176,25751,27360,2013-07-01,2016-06-30
371325,washita,ok,13327,15755,18177,2013-07-01,2016-06-30
390270,luzerne,pa,17564,18508,19459,2013-07-01,2016-06-30
360035,franklin,oh,20921,22254,23653,2013-07-01,2016-06-30
050067,stanislaus,ca,14332,16291,18301,2013-07-01,2016-06-30
111300,randolph,ga,11350,14059,16765,2013-07-01,2016-06-30
310086,camden,nj,17807,18464,19109,2013-07-01,2016-06-30
390073,blair,pa,23483,24806,26196,2013-04-01,2016-03-31
300001,merrimack,nh,15075,15780,16445,2013-07-01,2016-06-30
030012,yavapai,az,15804,17186,18764,2013-07-01,2016-06-30
140116,mchenry,il,22766,24554,26491,2013-07-01,2016-06-30
501327,whitman,wa,15928,18200,20828,2013-07-01,2016-06-30
261338,jasper,mo,12797,14782,17065,2013-07-01,2016-06-30
190297,vernon,la,15607,17937,20262,2013-07-01,2016-06-30
670031,harris,tx,22944,26149,29942,2013-07-01,2016-06-30
321301,socorro,nm,11976,14461,16890,2013-07-01,2016-06-30
490063,fairfax,va,16466,17078,17709,2013-07-01,2016-06-30
050557,stanislaus,ca,16088,16883,17708,2013-07-01,2016-06-30
060011,denver,co,14727,16635,18902,2013-07-01,2016-06-30
170104,johnson,ks,21212,23311,25466,2013-07-01,2016-06-30
050441,santa clara,ca,16990,17874,18738,2013-07-01,2016-06-30
360036,wayne,oh,21268,22294,23423,2013-04-01,2016-03-31
450825,hidalgo,tx,19541,20308,21072,2013-04-01,2016-03-31
051315,trinity,ca,12995,14888,16758,2013-07-01,2016-06-30
230054,marquette,mi,20464,21238,22029,2013-04-01,2016-03-31
380040,deschutes,or,17295,18578,19966,2013-04-01,2016-03-31
